latitude,longitude,name
64.13,-21.94,K
51.48,-0.46,L
55.62,12.66,K
59.65,17.92,S
49.00,2.57,P
52.31,4.76,A
40.49,-3.57,M
48.11,16.57,V
50.03,8.57,F
41.80,12.25,R
59.80,30.26,S-P
55.59,37.26,M
40.13,33.00,A
32.01,34.89,T
30.12,31.41,C
35.69,51.31,T
41.67,44.95,T
40.48,50.05,B
32.10,20.27,B
36.69,3.22,A
33.37,-7.59,C
48.96,-54.61,G
43.68,-79.63,T
49.19,-123.18,V
61.17,-150.00,A
40.64,-73.78,K
41.98,-87.91,C
32.90,-97.04,D
33.94,-118.41,L
19.44,-99.07,M
50.40,30.45,K
53.88,28.03,M
