latitude,longitude,name
64.13,-21.94,K
53.42,-6.27,D
52.70,-8.92,S
55.51,-4.59,G
51.48,-0.46,L
38.71,-9.14,L
40.49,-3.57,M
44.83,-0.72,B
49.00,2.57,P
43.64,1.37,T
52.31,4.76,A
50.03,8.57,F
52.38,13.52,B
48.35,11.79,M
50.10,14.26,P
47.46,8.55,Z
48.11,16.57,V
47.44,19.26,B
52.17,20.97,W
42.70,23.41,S
44.50,26.10,B
37.94,23.94,A
41.80,12.25,R
38.18,13.09,P
39.55,2.74,P
36.85,10.23,T
36.69,3.22,A
33.37,-7.59,C
27.93,-15.39,L
32.10,20.27,B
30.12,31.41,C
34.88,33.62,L
33.82,35.49,B
32.01,34.89,T
40.13,33.00,A
50.40,30.45,K
55.59,37.26,M
59.80,30.26,S-P
53.88,28.03,M
56.92,23.97,R
60.32,24.96,H
67.27,14.37,B
65.54,22.12,L
59.65,17.92,S
60.19,11.10,O
55.62,12.66,K
